artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
KASIA & Kosheen,Catch,track,0.82,1001tracklists_sidebar_chart,KASIA & Kosheen - Catch,https://www.1001tracklists.com/track/c2zkupnf/kasia-kosheen-catch/index.html,1001Tracklists,,,True
Wh0 & James Hurr,Out The Door,track,0.82,1001tracklists_sidebar_chart,Wh0 & James Hurr - Out The Door,https://www.1001tracklists.com/track/g9fwdk25/wh0-james-hurr-out-the-door/index.html,1001Tracklists,,,True
Armin van Buuren & Argy ft. Marlo Rex,Like A Child,track,0.82,1001tracklists_sidebar_chart,Armin van Buuren & Argy ft. Marlo Rex - Like A Child,https://www.1001tracklists.com/track/64p2zk1x/armin-van-buuren-argy-like-a-child/index.html,1001Tracklists,,,True
BLR & Amber Revival,Cause You're Mine,track,0.82,1001tracklists_sidebar_chart,BLR & Amber Revival - Cause You're Mine,https://www.1001tracklists.com/track/lyg9y1cf/blr-amber-revival-cause-youre-mine/index.html,1001Tracklists,,,True
Skytech & AMRV,Just About To Lose,track,0.82,1001tracklists_sidebar_chart,Skytech & AMRV - Just About To Lose,https://www.1001tracklists.com/track/j1b0zlqx/skytech-amrv-just-about-to-lose/index.html,1001Tracklists,,,True
Korolova,Another Life,track,0.82,1001tracklists_sidebar_chart,Korolova - Another Life,https://www.1001tracklists.com/track/mud83vuf/korolova-another-life/index.html,1001Tracklists,,,True
James Hype,Trigger Finger,track,0.82,1001tracklists_sidebar_chart,James Hype - Trigger Finger,https://www.1001tracklists.com/track/wkt1qttp/james-hype-trigger-finger/index.html,1001Tracklists,,,True
Tony Romera,Waste My Time,track,0.82,1001tracklists_sidebar_chart,Tony Romera - Waste My Time,https://www.1001tracklists.com/track/kt62hz4f/tony-romera-waste-my-time/index.html,1001Tracklists,,,True
AFTER MIDNIGHT,Feel Alright,track,0.82,1001tracklists_sidebar_chart,AFTER MIDNIGHT - Feel Alright,https://www.1001tracklists.com/track/w8h0ytyx/after-midnight-feel-alright/index.html,1001Tracklists,,,True
Devault,Can't Wait No More,track,0.82,1001tracklists_sidebar_chart,Devault - Can't Wait No More,https://www.1001tracklists.com/track/7wkdpjlf/devault-cant-wait-no-more/index.html,1001Tracklists,,,True
