artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
⠶ Dom Dolla ⠶,Don't Worry Baby,track,0.8,soundcloud_playlist_api,⠶ Dom Dolla ⠶ - Don't Worry Baby,https://soundcloud.com/domdolla/dontworrybaby?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-29,https://soundcloud.com/domdolla/dontworrybaby?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
Chris Lake,Make You Fight,track,0.8,soundcloud_playlist_api,Chris Lake - Make You Fight,https://soundcloud.com/chrislake/make-you-fight?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-23,https://soundcloud.com/chrislake/make-you-fight?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
Cloonee & Groove theory,One Question,track,0.9,soundcloud_playlist_api,Cloonee & Groove theory - One Question,https://soundcloud.com/cloonee/one-question?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-29,https://soundcloud.com/cloonee/one-question?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
"Kanine, Sota & Mila Falls",Touchdown,track,0.9,soundcloud_playlist_api,"Kanine, Sota & Mila Falls - Touchdown",https://soundcloud.com/ukf/kanine-sota-mila-falls-touchdown?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-30,https://soundcloud.com/ukf/kanine-sota-mila-falls-touchdown?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
IDEMI,Reflections,track,0.8,soundcloud_playlist_api,IDEMI - Reflections,https://soundcloud.com/idemimusic/idemi-reflections?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-22,https://soundcloud.com/idemimusic/idemi-reflections?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
The Chainsmokers,Already Know,track,0.8,soundcloud_playlist_api,The Chainsmokers - Already Know,https://soundcloud.com/thechainsmokers/already-know?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-21,https://soundcloud.com/thechainsmokers/already-know?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
Above & Beyond,Carry Me Home (Koven Remix),remix,0.8,soundcloud_playlist_api,Above & Beyond - Carry Me Home (Koven Remix),https://soundcloud.com/aboveandbeyond/carry-me-home-koven-remix?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-20,https://soundcloud.com/aboveandbeyond/carry-me-home-koven-remix?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
VNSSA,Let's Have A Kiki,track,0.8,soundcloud_playlist_api,VNSSA - Let's Have A Kiki,https://soundcloud.com/v_nss_a/lets-have-a-kiki?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-23,https://soundcloud.com/v_nss_a/lets-have-a-kiki?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
Bessey,Somn Like Dis,track,0.8,soundcloud_playlist_api,Bessey - Somn Like Dis,https://soundcloud.com/artistbessey/somn-like-dis?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-27,https://soundcloud.com/artistbessey/somn-like-dis?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
SNACKTIME,SUNSHINE (K Y O N Remix),remix,0.8,soundcloud_playlist_api,SNACKTIME - SUNSHINE (K Y O N Remix),https://soundcloud.com/snacktimeofficial/sunshine-k-y-o-n-remix-teaser?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,SoundCloud Playlist,2026-04-28,https://soundcloud.com/snacktimeofficial/sunshine-k-y-o-n-remix-teaser?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,True
