artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Slow Ted,Try Again,track,0.95,submithub_chart,Slow Ted - Try Again,https://www.submithub.com/song/slow-ted-try-again,SubmitHub,2026-04-26,https://open.spotify.com/track/40MiHyJVkdOTaDKzBXaanV,True
Paccu,Broken Pieces,track,0.95,submithub_chart,Paccu - Broken Pieces,https://www.submithub.com/song/paccu-broken-pieces,SubmitHub,2026-04-30,https://open.spotify.com/track/3kEsyzrycRGifXxZHAMtDv,True
Jarrod Cooney,Solitude,track,0.95,submithub_chart,Jarrod Cooney - Solitude,https://www.submithub.com/song/jarrod-cooney-x-julia-loveless-solitude,SubmitHub,2026-04-30,https://soundcloud.com/user-627426710-821727338/solitude/s-8dxQG0Q2wuX,True
Yari M,Adicta,track,0.95,submithub_chart,Yari M - Adicta,https://www.submithub.com/song/yari-m-adicta,SubmitHub,2026-04-29,https://open.spotify.com/track/3rNtWU18TEbnD85QtejTED,True
Arctec,I Will Miss You,track,0.95,submithub_chart,Arctec - I Will Miss You,https://www.submithub.com/song/arctec-i-will-miss-you,SubmitHub,2026-05-01,https://s3.amazonaws.com/submithub/files/oJzcQ4FgFKjTEanYq/i-will-miss-you-gahara-final-7g9w1dc.mp3,True
Phatwell,Run For Something Better,track,0.95,submithub_chart,Phatwell - Run For Something Better,https://www.submithub.com/song/phatwell-run-for-something-better,SubmitHub,2026-04-28,https://soundcloud.com/user-964856040/run-for-something-better?utm_medium=api&utm_campaign=social_sharing&utm_source=id_193463,True
Alex Hayes,Dreams ft JXN (Radio Edit),track,0.95,submithub_chart,Alex Hayes - Dreams ft JXN (Radio Edit),https://www.submithub.com/song/alex-hayes-x-jxn-dreams-ft-jxn-radio-edit,SubmitHub,2026-04-30,https://open.spotify.com/track/6ovT2DcdlkHxSwI7d7Kmh5,True
LO,Talk,track,0.95,submithub_chart,LO - Talk,https://www.submithub.com/song/lo-x-mallou-talk,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/AAsAkbfNGiNxGXcX7/cherry-blossom-20-talk-1774346719099.wav,True
Jesabel,All That I Need (feat. ALLKNIGHT),track,0.95,submithub_chart,Jesabel - All That I Need (feat. ALLKNIGHT),https://www.submithub.com/song/jesabel-all-that-i-need-feat-allknight,SubmitHub,2026-05-01,https://s.disco.ac/akruxzybjgms,True
Brisa (ES),Bailo Sola,track,0.85,submithub_chart,Brisa (ES) - Bailo Sola,https://www.submithub.com/song/brisa-es-bailo-sola,SubmitHub,2026-04-30,https://open.spotify.com/intl-es/track/2oa3vCopqP7FVkZYrCKcMV,True
Plu2,Nada Mas (feat. Garnic),track,0.95,submithub_chart,Plu2 - Nada Mas (feat. Garnic),https://www.submithub.com/song/plu2-x-lyge-x-garnic-nada-mas-feat-garnic,SubmitHub,2026-04-30,https://open.spotify.com/track/1BZMVgbDif98RFFvvztv8x,True
Gabriel M,Carnaval,track,0.95,submithub_chart,Gabriel M - Carnaval,https://www.submithub.com/song/gabriel-m-x-andor-gabriel-carnaval,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/vDrAr3spLNAusaRYR/andor-gabriel-gabriel-m-carnaval-radio-mix-8wylodj.wav,True
Kotti Affair,You Don't Stop Me,track,0.95,submithub_chart,Kotti Affair - You Don't Stop Me,https://www.submithub.com/song/kotti-affair-you-dont-stop-me,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/dwb5HY52awBGm87dW/kotti-affair-you-dont-stop-me-april-27-master-1l0cyyo.wav,True
Stendahl,Introvert,track,0.95,submithub_chart,Stendahl - Introvert,https://www.submithub.com/song/stendahl-introvert,SubmitHub,2026-04-28,https://open.spotify.com/track/3z8FiqaczD7MonpdJmZ6SP,True
Jason Ross,Mirage (feat. Oaks),track,0.85,submithub_chart,Jason Ross - Mirage (feat. Oaks),https://www.submithub.com/song/jason-ross-x-william-black-mirage-feat-oaks,SubmitHub,2026-05-01,https://s3.amazonaws.com/submithub/files/qGHLH7gzDvbM3axyP/1-jason-ross-and-william-black-feat-oaks-mirage-v9-1776728995517.wav,True
Major Lazer,Light It Up,track,0.85,submithub_chart,Major Lazer - Light It Up,https://www.submithub.com/song/wildcrow-light-it-up-major-lazer-cover,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/Ceh52PKiuQexbEuP4/wildcrow-light-it-up-radio-edit-wav-793e3yu.wav,True
Con's Universe,"somewhere, sometime",track,0.85,submithub_chart,"Con's Universe - somewhere, sometime",https://www.submithub.com/song/cons-universe-somewhere-sometime,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/WyW3rRWksY926eQvR/cons-universe-somewhere-sometime-master-hq8k8iz.mp3,True
Dr. Chaii,Designer,track,0.95,submithub_chart,Dr. Chaii - Designer,https://www.submithub.com/song/dr-chaii-designer-1,SubmitHub,2026-04-23,https://open.spotify.com/track/7GYjO2zack2FIFvVkFOfdL,True
Black Box,Touch It,track,0.85,submithub_chart,Black Box - Touch It,https://www.submithub.com/song/black-box-touch-it,SubmitHub,2026-04-30,https://open.spotify.com/intl-de/track/0ugdLlxP9Jwd5BPDzrfoB7,True
Alpas,Rivers,remix,0.85,submithub_chart,Alpas - Rivers,https://www.submithub.com/song/alpas-x-maple-sun-rivers-remix-by-onawa,SubmitHub,2026-04-16,https://open.spotify.com/track/5dN4EYRwFErFePfEWvF4qZ,True
Karen Harding,Night Moves,track,0.85,submithub_chart,Karen Harding - Night Moves,https://www.submithub.com/song/karen-harding-x-mr-belt-and-wezol-night-moves,SubmitHub,2026-04-16,https://open.spotify.com/track/2ZKSwkHVK9S75VTWc4Y97D,True
Malóne Morez,Wait For Me,track,0.85,submithub_chart,Malóne Morez - Wait For Me,https://www.submithub.com/song/malone-morez-x-sohail-x-wait-for-me-wait-for-me,SubmitHub,2026-04-23,https://open.spotify.com/track/15Fw1ZKZMTw1nX5baz5jHN,True
Adrià Falcó,Mantra,track,0.95,submithub_chart,Adrià Falcó - Mantra,https://www.submithub.com/song/adria-falco-mantra,SubmitHub,2026-04-23,https://www.youtube.com/watch?v=bVhZGUJ2xg0,True
Aspirin,The Tiger Sniff The Rose,track,0.95,submithub_chart,Aspirin - The Tiger Sniff The Rose,https://www.submithub.com/song/aspirin-the-tiger-sniff-the-rose,SubmitHub,2026-04-24,https://open.spotify.com/track/0JpJWcMtqCkeBbQT6RCFqb,True
