artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
go4broke,https://soundcloud.com/go4brokemusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1005284569,"Pop | Alternative | pop alt altpop altrnb ""Electronic Pop | Contemporary R&B | Electronic | remix electropop electronic electroclash hyperpop charlixcx ""troye sivan"" ""charli xcx"" 2hollis | Indie Pop",electronic,37,16,United States,Los Angeles
Chaplin,https://soundcloud.com/chplinmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,523827738,"Pop | Pop Alternative thekidlaroi brakence | Hip-hop & Rap | Aggressive trap hiphop pop thekidlaroi | Dark breakup moody pop | Pop Electronic hiphop ""the weeknd"" dark hyper | Hip-Hop Rap Melodic | Hip Hop"" R&B Rap Melodic ""Post Malone"" ""Juice Wrld"" ""The Kid Laroi"" 24kgldn jaeybxrd Brakence ""Eric Doa"" Glaive | Pop Melodic ""Post Malone"" ""Brakence "" ""Travis Scott"" ""Dro Kenji"" ""24k Goldn"" ""The Kid Laroi | pop ""melodic rap | Pop R&B Alternative Rap ""Ed Sheeran"" ""The Weeknd"" ""Post Malone"" ""Juice Wrld | R&B Rap Pop Dance Rock electronic ""Post Malone"" ""Swae Lee"" ""The Kid Laroi"" Juicewrld ""Dro Kenji"" Internet ""Justin Bieber"" ""Dominic Fike"" Engineer Producer Artist Musician",dance | electronic | trap,118,12,United States,Philadelphia
Tame Impala,https://soundcloud.com/tame-impala?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,5807211,Alternative | Dance Indie,dance,438984,130,Australia,Perth
PLAT.,https://soundcloud.com/platon-chervak-705324636?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,778378228,"Dance & EDM | bass house"" ""Tech House"" ""eli brown"" wavey remix rework 136bpm club underground Dance ""free download | Dance & EDM"" ""bass house"" 136bpm | garage ""bass house"" Diplo ""sonny fodera"" ""turn back time"" 136bpm | ukg ""bass house"" bass house garage | House | Bass House",bass | bass house | club | dance | edm | electronic | garage | house | tech house | ukg,2541,18,United States,"Miami, Kyiv"
Cailin Russo,https://soundcloud.com/cailinrusso?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,289679185,Electronic | Hip Hop | Pop | Cailin Russo | R&B & Soul,electronic,3207,63,,Los Angeles
Joy Anonymous,https://soundcloud.com/joyanonymous?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,81868578,Electronic | R&B | Soul | Dance,dance | electronic,10804,95,,London*****Adelaide
MLE,https://soundcloud.com/mlemusicc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,578351616,"House | Deep House | MLE "" House | House Electronic | Tech House | House ""MLE | MLE House ""edm | MLE House Edm | Drum & Bass | MLE ""Drum & Bass",bass | deep house | edm | electronic | house | tech house,1542,10,United States,San Diego
Karim Naas,https://soundcloud.com/karimnaas-sc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1545292599,Afro House | Dance | House,afro house | dance | house,25,9,,
Veritas (UK),https://soundcloud.com/veritasuk-sc?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1627318983,Dance | UK Garage,dance | garage,221,2,,
Cosmo's Midnight,https://soundcloud.com/cosmosmidnight?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,967874,Dance - House | Dance - Melodic House & Techno | Electronic | Electropop | House | Dancehall | UKG | Dance | R&B | Other,dance | electronic | house | melodic house | techno | ukg,91566,102,Australia,Sydney
Noah Henderson,https://soundcloud.com/nhendyson?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,347105525,Pop | sad chill pop indie healing | pop | indie ambient sad heartbreak,club | dance | electronic | house,907,26,United States,Los Angeles
PETIT BISCUIT,https://soundcloud.com/petitbiscuit?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,16509370,"Ambient | Indie | Electronic | Electronic ""Dance & EDM | Dance - Electro | Dance & EDM | energic dynamic party pressplay dance",dance | edm | electronic,261030,123,France,
Rivasᵁˢᴬ,https://soundcloud.com/djrivas?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1453252,"Dance & EDM | happy "" ""high energy "" ""workout | dance pop uk edm fun remix alex warren | Strangers by Seven Lions | Myon | Shane 54 and Tove Lo",dance | edm,76318,90,United States,Boston
MPH,https://soundcloud.com/mph-uk?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,69037974,"UKG | UKG ""Dance & EDM | Garage",bass | dance | edm | garage | ukg,45730,80,,Canterbury
RAYE,https://soundcloud.com/raye?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,115767975,Pop,house,86233,160,,South London
Zero,https://soundcloud.com/zero_uk?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,39208939,UK Garage | UKG Bassline Garage Rave | Dance | Dance - Garage | Bassline | Grime,bass | dance | garage | ukg,63211,93,,
Two Another,https://soundcloud.com/twoanother?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,169041789,Dance | Indie Pop | Pop - Alternative | Indie,dance,8684,116,,
niko rain,https://soundcloud.com/niko-rain?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,988263856,"Pop | Pop alt-pop | Electronic | Indie Pop ""Alternative Rock"" Ambient",electronic,1050,25,,
ANOTR,https://soundcloud.com/anotr?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,44453857,"House | anotr ""hold on let go"" house ""deep house | Indie | Disco",deep house | house,91058,89,,Amsterdam
FIG,https://soundcloud.com/figwoop?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,56443848,"Pop | FIG ""Seeking For Connection"" ""Cob Stand"" BUD ""Indie Pop"" Indie Pop R&B Alternative ""Alt Pop"" ""Alt R&B"" ""New Music"" New Music Song SCFIRST ""Asian Music | Indie | R&B ""Bossa Nova"" Bossa Dance Pop Indie Alt Alternative Soul ""Indie Pop"" ""Bedroom Pop"" ""Honey Filled Skies"" FIG figwoop Huck TikTok 2022 2023 Hits SCFIRST New Music Artist ""New Artist"" ""New Music"" BUD | Indie R&B Pop Lofi Chill Mellow 2022 2023 FIG figwoop Alternative Lack BUD ""New Music"" ""New Artist"" SCFIRST",dance,725,31,,New York
PARISI,https://soundcloud.com/weareparisi?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,229668533,Dance | Electronic | House,dance | electronic | house,1927,18,Britain (UK),
DJ Sprino,https://soundcloud.com/djsprino?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,441481,"Funk | Rock | Hip-hop & Rap | Christmas | Remix | Hip Hop"" ""Christmas | Dance & EDM | Dance ""Dance Pop"" Pop Edm Electro Electronic ""Electro House"" ""Electronic Pop"" Disco House | 70s & 80s | Rock Pop Disco Funk Dance ""Dance Pop | 90s 2000s ""Hip Hop"" Rap R&B Pop Dance Mix Mixtape",dance | disco house | edm | electronic | house,121,20,United States,Boston
rüüdy.,https://soundcloud.com/rueuedy?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1494979175,Dance & EDM,dance | edm,405,13,,
Babsy.,https://soundcloud.com/babsymusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,123944763,"Dubstep | edm dubstep bassmusic remix | Dance & EDM | ukg garage ""speed garage "" ""pink pantheress | edm ""in color"" headlights ""dance music"" melodic ""future bass | dubstep griz whethan edm dancemusic | Electronic | flume ""olivia dean"" edm ""dance music"" happy love ukg | dom dolla | Drum & Bass | edm "" dnb ""drum and "" ""liquid dnb",bass | dance | dnb | dubstep | edm | electronic | garage | ukg,5042,68,,
RL Grime,https://soundcloud.com/rlgrime?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,3514469,"Electronic | Dance & EDM | RL Grime"" Halloween | RL Grime"" PLAY | RL Grime"" Sublab Baauer Noomi PLAY | RL Grime "" PLAY",dance | edm | electronic,750661,152,,
VERITAS (UK),https://soundcloud.com/veritasdj?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,491369565,Electronic,electronic,7028,32,,LONDON
Thorne,https://soundcloud.com/24o973?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1075977517,"House | Electronic Trance ""bass house"" skrillex ninajirachi dubstep clouds | clouds ""tech house"" balaric ibiza house ""deep house"" chill | 125 BPM"" ""bass house"" bass happy clouds | electronic house ""blog house"" bloghaus ""indie sleaze"" complextro electrohouse | Bass House | Slap House | Dubstep | Electronic | y2k | electronica | Disco House | Pop | Electronic Bloghaus bloghouse dare ""new york"" techno electroclash ""ed banger"" sebastian Justice | Garage | 2 Step | Clouds | Dance Edm ""bass house"" synth clouds pop ""drum and bass | Drum & Bass | You can look at the clouds again",bass | bass house | club | dance | deep house | disco house | drum and bass | dubstep | edm | electronic | electronica | garage | house | tech house | techno | trance,181,13,,
Louis Millne,https://soundcloud.com/louismillne?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,330739245,"House | techhouse Live minimal deeptech liveset teedee | rolling techhouse freedownload | Electronic | Tech-House | Tech House"" live mix minimal | TechHouse "" ""live "" mix minimal | techhouse live minimal ""deep tech"" liveset | Tech House"" Dance House | Deep House"" House techhouse hotcreations ""Alternative Rock",club | dance | deep house | electronic | house | tech house,3811,46,Britain (UK),
IN PARALLEL,https://soundcloud.com/inparalleluk?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1447822256,"Electronic | uk garage | speed garage"" ""soul searchers"" ukg | House | energetic 90s ukg ""speed garage | ukg | Speed garage"" energetic ukg fast euphoric ""in parallel | Dance & EDM | UKG "" ""unknown t "" Free ""Speed garage | UK Garage | Dance | UKG ""Speed garage"" ""Piano house"" house | ukg ukgarage Damager speedgarage | Drum & Bass",bass | dance | edm | electronic | garage | house | ukg,9742,29,Britain (UK),Stafford
