artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Le Youth,circus act,unknown,0.6,regex,Le Youth Extends Intimacy With Latest Release ‘circus act’,https://www.edmtunes.com/2026/04/le-youth-circus-act/,EDMTunes,2026-04-30,,True
WHIPPED CREAM,HOME WAS ALWAYS ME,album,0.6,regex,"WHIPPED CREAM Unveils Debut Album, HOME WAS ALWAYS ME",https://www.edmtunes.com/2026/04/whipped-cream-album-home-was-always-me/,EDMTunes,2026-04-30,,True
Charlotte de Witte,Amor,EP,0.6,regex,Charlotte de Witte Releases New ‘Amor’ EP Featuring CERES,https://www.edmtunes.com/2026/04/charlotte-de-witte-amor-ep/,EDMTunes,2026-04-30,,True
DJ Susan,Transformation,single,0.6,regex,DJ Susan Joins Dirtybird Records With ‘Transformation’ Single,https://www.edmtunes.com/2026/04/dj-susan-transformation/,EDMTunes,2026-04-29,,True
Malaa’s Alter Ego and YDG,STFU,unknown,0.6,regex,Malaa’s Alter Ego and YDG Unleash ‘STFU’,https://www.edmtunes.com/2026/04/malaas-alter-ego-ydg-stfu/,EDMTunes,2026-04-29,,True
Koven,Carry Me Home,single,0.7,regex,Koven Remixes Fan Favorite Above & Beyond Single ‘Carry Me Home’,https://www.edmtunes.com/2026/04/koven-remixes-carry-me-home-above-beyond/,EDMTunes,2026-04-28,,True
Jason Ross & William Black,Mirage,single,0.7,regex,Jason Ross & William Black Unite on Emotional New Single ‘Mirage’ ft. Oaks,https://www.edmtunes.com/2026/04/jason-ross-william-black-unite-on-emotional-new-single-mirage-ft-oaks/,EDMTunes,2026-04-28,,True
James Hype,Trigger Finger,unknown,0.6,regex,James Hype Releases Dancefloor Heater ‘Trigger Finger’,https://www.edmtunes.com/2026/04/james-hype-trigger-finger/,EDMTunes,2026-04-27,,True
Danny Avila,All Over My Body,remix,0.75,regex+embedded_player,Danny Avila Remixes Bart Skils’ ‘All Over My Body’,https://www.edmtunes.com/2026/04/danny-avila-remixes-bart-skils-all-over-my-body/,EDMTunes,2026-04-27,https://open.spotify.com/track/5Ze2EGm4FVc6VhiO8lGEab?si=de505c4a7f8b48cd,True
Devault Quickly,Can’t Wait No More,unknown,0.9,regex+embedded_player,Devault Quickly Returns to Experts Only with ‘Can’t Wait No More’,https://www.edmtunes.com/2026/04/devault-quickly-returns-to-experts-only-with-cant-wait-no-more/,EDMTunes,2026-04-27,https://www.youtube.com/watch?v=h6PvAp66s_c,True
Marten Lou & Luch,Hideaway,track,0.6,regex,Marten Lou & Luch Reunite for Organic Track ‘Hideaway’,https://www.edmtunes.com/2026/04/marten-lou-luch-reunite-for-organic-track-hideaway/,EDMTunes,2026-04-27,,True
Sick Individuals,Sunrise,unknown,0.6,regex,Sick Individuals Provide Progressive House Vibes in ‘Sunrise’,https://www.edmtunes.com/2026/04/sick-individuals-provide-progressive-house-vibes-in-sunrise/,EDMTunes,2026-04-27,,True
MEDUZA,Save My Love,remix,0.6,regex,MEDUZA Flip Kygo’s ‘Save My Love’ Into a Darker Club-Ready Remix,https://www.edmtunes.com/2026/04/meduza-flip-kygos-save-my-love-into-a-darker-club-ready-remix/,EDMTunes,2026-04-27,,True
ZHU,BLACK MIDAS,album,0.6,regex+embedded_player,ZHU Returns to the Dancefloor With New Album BLACK MIDAS,https://www.edmtunes.com/2026/04/zhu-returns-to-the-dancefloor-with-new-album-black-midas/,EDMTunes,2026-04-24,https://open.spotify.com/album/34EvpDxhNEF0polvIKdGdP?si=0yRVXPcwTuugoDUQpVhLIw | https://open.spotify.com/track/6AIZqQXPF61EjLlMacukA5?si=b3e4a60d382c42da,True
GorillaT,BOOM,single,0.6,regex,GorillaT Goes Full Send with Latest Single ‘BOOM’,https://www.edmtunes.com/2026/04/gorillat-goes-full-send-with-latest-single-boom/,EDMTunes,2026-04-24,,True
Paradoks,Granular,single,0.7,regex,Paradoks Reveals Powerful New Single ‘Granular’,https://www.edmtunes.com/2026/04/paradoks-granular/,EDMTunes,2026-04-24,,True
