artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Denis First,La La La,unknown,0.85,regex,Denis First unveils feel-good house anthem ‘La La La’: Listen,https://weraveyou.com/2026/04/denis-first-la-la-la-house-single/,We Rave You,2026-04-29,,True
Statikk,Self Control,single,1.0,regex+embedded_player,Statikk channels groove and movement on new single ‘Self Control’: Listen,https://weraveyou.com/2026/04/statikk-self-control-single/,We Rave You,2026-04-26,https://open.spotify.com/album/5dtrV6pAh4Fuaw3Ravv67G,True
DJs From Mars,You Get What You Give,remix,0.7,regex,"DJs From Mars Flip ‘You Get What You Give’ into a high-energy remix with Van Snyder, Serena Bleu & Alexander Popov: Listen",https://weraveyou.com/2026/04/djs-from-mars-remix-you-get-what-you-give/,We Rave You,2026-04-24,,True
Rob Laniado,Falling Under,track,1.0,regex+embedded_player,"Rob Laniado returns with a melodic techno cut on ROMÉ Records, ‘Falling Under’: Listen",https://weraveyou.com/2026/04/rob-laniado-falling-under-rome-records/,We Rave You,2026-04-19,https://soundcloud.com/rob-laniado/rob-laniado-falling-under-rome,True
John Summit,CTRL ESCAPE,album,0.95,regex,John Summit releases debut album ‘CTRL ESCAPE’: Listen,https://weraveyou.com/2026/04/john-summit-ctrl-escape-album-2/,We Rave You,2026-04-15,,True
The Chainsmokers,Echo,single,0.85,regex,"The Chainsmokers enlist Oaks for new single, ‘Echo’: Listen",https://weraveyou.com/2026/04/the-chainsmokers-oaks-echo/,We Rave You,2026-04-10,,True
Roger Sanchez,Temptation,album,0.95,regex,"Roger Sanchez announces first studio album in 20 years, unveils ‘Temptation’ with Low Steppa: Listen",https://weraveyou.com/2026/04/roger-sanchez-spectrum-album-temptation-low-steppa/,We Rave You,2026-04-10,,True
TRIPL,Deep Down,single,1.0,regex+embedded_player,TRIPL unveil enticing new single ‘Deep Down’ on HouseU Records: Listen,https://weraveyou.com/2026/04/tripl-deep-down-on-houseu-records/,We Rave You,2026-04-07,https://soundcloud.com/houseurec/tripl-deep-down,True
INSCT & Roxy Tones,Higher On Live,album,0.85,regex,"INSCT & Roxy Tones deliver powerful new album, ‘Higher On Live’: Listen",https://weraveyou.com/2026/04/insct-roxy-tones-higher-on-live/,We Rave You,2026-04-01,,True
HIFEELINGS and Dyzzy,FRIENDS?,single,0.85,regex,HIFEELINGS and Dyzzy deliver emotionally driven single ‘FRIENDS?’: Listen,https://weraveyou.com/2026/04/hifeelings-dyzzy-friends/,We Rave You,2026-04-01,,True
