artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Cassian & AR/CO,Come To Life,track,0.82,1001tracklists_sidebar_chart,Cassian & AR/CO - Come To Life,https://www.1001tracklists.com/track/4zf271tp/cassian-ar-co-come-to-life/index.html,1001Tracklists,,,True
MORTEN & David Guetta,La Révolution,track,0.82,1001tracklists_sidebar_chart,MORTEN & David Guetta - La Révolution,https://www.1001tracklists.com/track/nzp3dnlx/morten-david-guetta-la-revolution/index.html,1001Tracklists,,,True
Oliver Heldens & Kryder & The Young Punx,AEIOU,track,0.82,1001tracklists_sidebar_chart,Oliver Heldens & Kryder & The Young Punx - AEIOU,https://www.1001tracklists.com/track/3u09j8tf/oliver-heldens-kryder-the-young-punx-aeiou/index.html,1001Tracklists,,,True
CamelPhat & Volkoder,Unique Moment,track,0.82,1001tracklists_sidebar_chart,CamelPhat & Volkoder - Unique Moment,https://www.1001tracklists.com/track/9nf8kw85/camelphat-volkoder-unique-moment/index.html,1001Tracklists,,,True
Wh0,Wh0 Can Dance,track,0.82,1001tracklists_sidebar_chart,Wh0 - Wh0 Can Dance,https://www.1001tracklists.com/track/cdbb278x/wh0-wh0-can-dance/index.html,1001Tracklists,,,True
ALOK,Around,track,0.82,1001tracklists_sidebar_chart,ALOK - Around,https://www.1001tracklists.com/track/wv3pn3mp/alok-around/index.html,1001Tracklists,,,True
Tiga & Chris Lake ft. Aatig,Party Time,track,0.82,1001tracklists_sidebar_chart,Tiga & Chris Lake ft. Aatig - Party Time,https://www.1001tracklists.com/track/64ptsp2x/tiga-chris-lake-party-time/index.html,1001Tracklists,,,True
Mathame ft. Bonn,Follow,track,0.82,1001tracklists_sidebar_chart,Mathame ft. Bonn - Follow,https://www.1001tracklists.com/track/kt4zq4kx/mathame-follow/index.html,1001Tracklists,,,True
Dubdogz & Voltech & Faiolli,California Dreamin',track,0.82,1001tracklists_sidebar_chart,Dubdogz & Voltech & Faiolli - California Dreamin',https://www.1001tracklists.com/track/nf0pm16x/dubdogz-voltech-faiolli-california-dreamin/index.html,1001Tracklists,,,True
HILLS,Lift Me Up,track,0.82,1001tracklists_sidebar_chart,HILLS - Lift Me Up,https://www.1001tracklists.com/track/5vcpy105/hills-lift-me-up/index.html,1001Tracklists,,,True
Odd Mob & OMNOM pres. HYPERBEAM,Take You There,track,0.82,1001tracklists_sidebar_chart,Odd Mob & OMNOM pres. HYPERBEAM - Take You There,https://www.1001tracklists.com/track/t21g7tpf/odd-mob-omnom-pres.-hyperbeam-take-you-there/index.html,1001Tracklists,,,True
