artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Chris Lorenzo,HOTS 4 U,single,1.0,spotify_playlist_api,Chris Lorenzo - HOTS 4 U,https://open.spotify.com/track/5nMrR3Ed99WcQ4Vv0wy8Bf,Spotify Playlist,2026-05-01,https://open.spotify.com/track/5nMrR3Ed99WcQ4Vv0wy8Bf,True
Chris Lake,Make You Fight,single,1.0,spotify_playlist_api,Chris Lake - Make You Fight,https://open.spotify.com/track/5di9ztnBe0d2qim9ngmiMD,Spotify Playlist,2026-05-01,https://open.spotify.com/track/5di9ztnBe0d2qim9ngmiMD,True
D.O.D,Closure,single,1.0,spotify_playlist_api,D.O.D - Closure,https://open.spotify.com/track/6aynKW70w06W8LyZaKpdAX,Spotify Playlist,2026-05-01,https://open.spotify.com/track/6aynKW70w06W8LyZaKpdAX,True
Rowan Freed,SPELL,single,1.0,spotify_playlist_api,Rowan Freed - SPELL,https://open.spotify.com/track/0RcmCCTe1rF2JYBlIQBmGP,Spotify Playlist,2026-05-01,https://open.spotify.com/track/0RcmCCTe1rF2JYBlIQBmGP,True
Dom Dolla,Don't Worry Baby,single,1.0,spotify_playlist_api,Dom Dolla - Don't Worry Baby,https://open.spotify.com/track/0uFffwji3muqn5MEe7hiYw,Spotify Playlist,2026-05-01,https://open.spotify.com/track/0uFffwji3muqn5MEe7hiYw,True
Cloonee,One Question,single,1.0,spotify_playlist_api,Cloonee - One Question,https://open.spotify.com/track/7JvaT4FTTF0aYyacmfbHRY,Spotify Playlist,2026-05-01,https://open.spotify.com/track/7JvaT4FTTF0aYyacmfbHRY,True
Belters Only,To The Max (feat. Reggie),single,1.0,spotify_playlist_api,Belters Only - To The Max (feat. Reggie),https://open.spotify.com/track/0XFP6fcAIqgDm0cHJ7GVUc,Spotify Playlist,2026-05-01,https://open.spotify.com/track/0XFP6fcAIqgDm0cHJ7GVUc,True
Damionson,Watching Me,single,1.0,spotify_playlist_api,Damionson - Watching Me,https://open.spotify.com/track/0GyF3ttsi8U2TnCnuqMre7,Spotify Playlist,2026-05-01,https://open.spotify.com/track/0GyF3ttsi8U2TnCnuqMre7,True
Laserface,Sunrise Over London,single,1.0,spotify_playlist_api,Laserface - Sunrise Over London,https://open.spotify.com/track/3bHjhaV4CdRjQDnZmkEUgv,Spotify Playlist,2026-04-24,https://open.spotify.com/track/3bHjhaV4CdRjQDnZmkEUgv,True
Catch A,Beat Rockin',single,1.0,spotify_playlist_api,Catch A - Beat Rockin',https://open.spotify.com/track/2zTsJap7YDu57ww1v7GNFh,Spotify Playlist,2026-05-01,https://open.spotify.com/track/2zTsJap7YDu57ww1v7GNFh,True
KC Lights,Danca,single,1.0,spotify_playlist_api,KC Lights - Danca,https://open.spotify.com/track/1bSEok2LJmdLzaIYAj14bk,Spotify Playlist,2026-05-01,https://open.spotify.com/track/1bSEok2LJmdLzaIYAj14bk,True
Spiller,Groovejet (If This Ain’t Love) - not without friends Remix,single,1.0,spotify_playlist_api,Spiller - Groovejet (If This Ain’t Love) - not without friends Remix,https://open.spotify.com/track/6yb14tUTLWfBStXgcQJbPV,Spotify Playlist,2026-05-01,https://open.spotify.com/track/6yb14tUTLWfBStXgcQJbPV,True
Max Tyler,You,single,1.0,spotify_playlist_api,Max Tyler - You,https://open.spotify.com/track/6YEIN71cZQa8u2Lt9AYcHc,Spotify Playlist,2026-05-01,https://open.spotify.com/track/6YEIN71cZQa8u2Lt9AYcHc,True
Jax Jones,Sidewinder,single,1.0,spotify_playlist_api,Jax Jones - Sidewinder,https://open.spotify.com/track/0na53JCDULF2YctmSuEhh2,Spotify Playlist,2026-05-01,https://open.spotify.com/track/0na53JCDULF2YctmSuEhh2,True
BLOND:ISH,In Da Jungle,single,1.0,spotify_playlist_api,BLOND:ISH - In Da Jungle,https://open.spotify.com/track/1Dya7Lh8cLYg6t1q100xpY,Spotify Playlist,2026-05-01,https://open.spotify.com/track/1Dya7Lh8cLYg6t1q100xpY,True
Azzecca,make your move,single,1.0,spotify_playlist_api,Azzecca - make your move,https://open.spotify.com/track/5DLDirJKT4feWxCH686VM1,Spotify Playlist,2026-05-01,https://open.spotify.com/track/5DLDirJKT4feWxCH686VM1,True
joegarratt,excuses - HIFEELINGS Remix,single,1.0,spotify_playlist_api,joegarratt - excuses - HIFEELINGS Remix,https://open.spotify.com/track/1LI7HfRYXIdiMmXGAmwmmB,Spotify Playlist,2026-05-01,https://open.spotify.com/track/1LI7HfRYXIdiMmXGAmwmmB,True
Rudimental,Love You More,single,1.0,spotify_playlist_api,Rudimental - Love You More,https://open.spotify.com/track/2JT8Ey1EajEe1VNgBzl9Ut,Spotify Playlist,2026-04-28,https://open.spotify.com/track/2JT8Ey1EajEe1VNgBzl9Ut,True
